Business Name,Location,Category,Annual Trade Volume (M USD),Main Trading Partner,Trade Type,Subcategory,Business Size,Established Year,Contact Info,Phone,Preferred Trade Route,Trade Growth Rate (%),Currency,Trade Frequency (per year),Recency of Last Trade (months),Trade Success Rate (%),Partner Rating,Price Fluctuation (%),Region,IndustrySector,BusinessID,LogisticsAccess,TargetMarket,MarketAccessScore,TraditionalIndustryScore,EgyptianAdvantageScore,Business Features
Souvenirs Tourism Group,"Kafr El Sheikh, Egypt",Tourism,1.89,Greece,Exporter,Souvenirs,Small,2020,info@souvenirstouris.eg,20273609054,Via Damietta Port,10.09,USD,18,2,78.75,3.9,6.62,Other Egypt,Tourism - Souvenirs,51,2,Europe,3,3.0,2.7,"{'trade_volume': 1.89, 'growth_rate': 10.09, 'success_rate': 78.75, 'trade_frequency': 18, 'business_size': 'Small', 'trade_type': 'Exporter', 'category': 'Tourism', 'egyptian_advantage': 2.7, 'location_region': 'Other Egypt'}"
United Dates Agriculture,"Luxor, Egypt",Agriculture,71.45,Kuwait,Both,Dates,Medium,1987,info@uniteddatesagri.eg,20252845978,Via Port Said Port,-3.1,USD,231,0,83.24,4.5,5.32,Upper Egypt,Agriculture - Dates,52,2,MENA,3,5.0,3.5,"{'trade_volume': 71.45, 'growth_rate': -3.1, 'success_rate': 83.24, 'trade_frequency': 231, 'business_size': 'Medium', 'trade_type': 'Both', 'category': 'Agriculture', 'egyptian_advantage': 3.5, 'location_region': 'Upper Egypt'}"
Glass Construction Exports,"Damanhur, Egypt",Construction,429.23,Morocco,Both,Glass,Large,2019,info@glassconstructi.eg,20135981312,Via Alexandria Port,2.37,USD,365,1,86.0,4.2,13.73,Other Egypt,Construction - Glass,53,2,Africa,3,3.0,2.7,"{'trade_volume': 429.23, 'growth_rate': 2.37, 'success_rate': 86.0, 'trade_frequency': 365, 'business_size': 'Large', 'trade_type': 'Both', 'category': 'Construction', 'egyptian_advantage': 2.7, 'location_region': 'Other Egypt'}"
Premium Canned Foods Food Processing,"6th of October, Egypt",Food Processing,27.62,China,Both,Canned Foods,Medium,2018,info@premiumcannedfo.eg,20250121402,Via Damietta Port,14.92,USD,84,1,72.08,3.6,12.91,Other Egypt,Food Processing - Canned Foods,54,2,Asia,3,3.0,2.7,"{'trade_volume': 27.62, 'growth_rate': 14.92, 'success_rate': 72.08, 'trade_frequency': 84, 'business_size': 'Medium', 'trade_type': 'Both', 'category': 'Food Processing', 'egyptian_advantage': 2.7, 'location_region': 'Other Egypt'}"
Glass Construction Trading Egypt,"Suez, Egypt",Construction,15.27,Brazil,Exporter,Glass,Small,1995,info@glassconstructi.eg,20273265108,Via Suez Port,-4.6,USD,67,3,74.2,3.6,14.66,Suez Canal,Construction - Glass,55,5,MENA,5,3.0,4.2,"{'trade_volume': 15.27, 'growth_rate': -4.6, 'success_rate': 74.2, 'trade_frequency': 67, 'business_size': 'Small', 'trade_type': 'Exporter', 'category': 'Construction', 'egyptian_advantage': 4.2, 'location_region': 'Suez Canal'}"
Golden Bricks Construction,"Fayoum, Egypt",Construction,289.87,Ethiopia,Both,Bricks,Large,1984,info@goldenbrickscon.eg,20129858548,Via Alexandria Port,-7.01,USD,365,1,87.23,4.3,12.69,Upper Egypt,Construction - Bricks,56,2,Africa,5,3.0,3.3000000000000003,"{'trade_volume': 289.87, 'growth_rate': -7.01, 'success_rate': 87.23, 'trade_frequency': 365, 'business_size': 'Large', 'trade_type': 'Both', 'category': 'Construction', 'egyptian_advantage': 3.3000000000000003, 'location_region': 'Upper Egypt'}"
Premium Office Furniture,"Ismailia, Egypt",Furniture,78.33,Greece,Importer,Office,Medium,2006,info@premiumofficefu.eg,20375487961,Via Ismailia Port,12.13,USD,238,4,79.31,3.5,2.86,Suez Canal,Furniture - Office,57,5,Europe,4,3.0,3.9000000000000004,"{'trade_volume': 78.33, 'growth_rate': 12.13, 'success_rate': 79.31, 'trade_frequency': 238, 'business_size': 'Medium', 'trade_type': 'Importer', 'category': 'Furniture', 'egyptian_advantage': 3.9000000000000004, 'location_region': 'Suez Canal'}"
Cairo Aluminum Metals,"Beni Suef, Egypt",Metals,401.48,Qatar,Exporter,Aluminum,Large,1998,info@cairoaluminumme.eg,20291546716,Via Safaga Port,-10.0,USD,365,2,97.19,4.7,3.89,Upper Egypt,Metals - Aluminum,58,2,MENA,3,4.0,3.1,"{'trade_volume': 401.48, 'growth_rate': -10.0, 'success_rate': 97.19, 'trade_frequency': 365, 'business_size': 'Large', 'trade_type': 'Exporter', 'category': 'Metals', 'egyptian_advantage': 3.1, 'location_region': 'Upper Egypt'}"
Souvenirs Tourism Trading Egypt,"New Cairo, Egypt",Tourism,34.27,Saudi Arabia,Importer,Souvenirs,Medium,2018,info@souvenirstouris.eg,20133034643,Via Alexandria Port,4.1,USD,111,4,55.24,3.0,14.88,Greater Cairo,Tourism - Souvenirs,59,4,MENA,4,3.0,3.6000000000000005,"{'trade_volume': 34.27, 'growth_rate': 4.1, 'success_rate': 55.24, 'trade_frequency': 111, 'business_size': 'Medium', 'trade_type': 'Importer', 'category': 'Tourism', 'egyptian_advantage': 3.6000000000000005, 'location_region': 'Greater Cairo'}"
Aluminum Metals Group,"Sharm El Sheikh, Egypt",Metals,288.31,Malaysia,Both,Aluminum,Large,2004,info@aluminummetalsg.eg,20294142832,Via Suez Port,7.81,USD,365,4,88.68,4.2,6.64,Sinai,Metals - Aluminum,60,3,Asia,4,4.0,3.7,"{'trade_volume': 288.31, 'growth_rate': 7.81, 'success_rate': 88.68, 'trade_frequency': 365, 'business_size': 'Large', 'trade_type': 'Both', 'category': 'Metals', 'egyptian_advantage': 3.7, 'location_region': 'Sinai'}"
Cairo Components Electronics,"Kafr El Sheikh, Egypt",Electronics,5.5,Nigeria,Importer,Components,Small,2006,info@cairocomponents.eg,20396242935,Via Safaga Port,1.41,USD,42,5,64.59,2.7,6.16,Other Egypt,Electronics - Components,61,2,Africa,3,3.0,2.7,"{'trade_volume': 5.5, 'growth_rate': 1.41, 'success_rate': 64.59, 'trade_frequency': 42, 'business_size': 'Small', 'trade_type': 'Importer', 'category': 'Electronics', 'egyptian_advantage': 2.7, 'location_region': 'Other Egypt'}"
Beverages Food Processing Egypt,"Minya, Egypt",Food Processing,47.85,Tunisia,Importer,Beverages,Medium,1995,info@beveragesfoodpr.eg,20298162245,Via Safaga Port,-10.0,USD,162,4,82.34,4.6,13.61,Upper Egypt,Food Processing - Beverages,62,2,Africa,5,3.0,3.3000000000000003,"{'trade_volume': 47.85, 'growth_rate': -10.0, 'success_rate': 82.34, 'trade_frequency': 162, 'business_size': 'Medium', 'trade_type': 'Importer', 'category': 'Food Processing', 'egyptian_advantage': 3.3000000000000003, 'location_region': 'Upper Egypt'}"
Garments Textiles Egypt,"6th of October, Egypt",Textiles,25.95,United States,Exporter,Garments,Medium,2022,info@garmentstextile.eg,20252704570,Via Suez Port,12.94,USD,96,2,72.98,3.7,5.45,Other Egypt,Textiles - Garments,63,2,MENA,3,5.0,3.5,"{'trade_volume': 25.95, 'growth_rate': 12.94, 'success_rate': 72.98, 'trade_frequency': 96, 'business_size': 'Medium', 'trade_type': 'Exporter', 'category': 'Textiles', 'egyptian_advantage': 3.5, 'location_region': 'Other Egypt'}"
Golden Steel Metals,"Damietta, Egypt",Metals,24.18,Belgium,Both,Steel,Medium,1999,info@goldensteelmeta.eg,20230508817,Via Damietta Port,-3.59,USD,80,3,70.47,4.0,3.48,Mediterranean Coast,Metals - Steel,64,5,Europe,5,4.0,4.6,"{'trade_volume': 24.18, 'growth_rate': -3.59, 'success_rate': 70.47, 'trade_frequency': 80, 'business_size': 'Medium', 'trade_type': 'Both', 'category': 'Metals', 'egyptian_advantage': 4.6, 'location_region': 'Mediterranean Coast'}"
Alexandria Silver Metals,"Suez, Egypt",Metals,322.1,United States,Exporter,Silver,Large,2018,info@alexandriasilve.eg,20111023338,Via Suez Port,14.27,USD,365,2,96.55,4.5,1.2,Suez Canal,Metals - Silver,65,5,MENA,5,4.0,4.6,"{'trade_volume': 322.1, 'growth_rate': 14.27, 'success_rate': 96.55, 'trade_frequency': 365, 'business_size': 'Large', 'trade_type': 'Exporter', 'category': 'Metals', 'egyptian_advantage': 4.6, 'location_region': 'Suez Canal'}"
International Papyrus Handicrafts Egypt,"Tanta, Egypt",Handicrafts,394.01,Tanzania,Importer,Papyrus,Large,2013,info@internationalpa.eg,20296425659,Via Damietta Port,-3.44,USD,365,5,86.17,4.4,12.43,Nile Delta,Handicrafts - Papyrus,66,3,MENA,3,3.0,3.0,"{'trade_volume': 394.01, 'growth_rate': -3.44, 'success_rate': 86.17, 'trade_frequency': 365, 'business_size': 'Large', 'trade_type': 'Importer', 'category': 'Handicrafts', 'egyptian_advantage': 3.0, 'location_region': 'Nile Delta'}"
Transportation Tourism Group,"Hurghada, Egypt",Tourism,8.46,Mexico,Exporter,Transportation,Small,1999,info@transportationt.eg,20244334183,Via Damietta Port,-10.0,USD,41,0,77.97,3.9,7.17,Red Sea,Tourism - Transportation,67,4,MENA,5,3.0,3.9000000000000004,"{'trade_volume': 8.46, 'growth_rate': -10.0, 'success_rate': 77.97, 'trade_frequency': 41, 'business_size': 'Small', 'trade_type': 'Exporter', 'category': 'Tourism', 'egyptian_advantage': 3.9000000000000004, 'location_region': 'Red Sea'}"
Dates Agriculture Trading Egypt,"Marsa Matruh, Egypt",Agriculture,9.66,Lebanon,Both,Dates,Small,2017,info@datesagricultur.eg,20245001100,Via Marsa Matruh Port,2.28,USD,50,2,98.0,4.9,3.62,Other Egypt,Agriculture - Dates,68,2,MENA,3,5.0,3.5,"{'trade_volume': 9.66, 'growth_rate': 2.28, 'success_rate': 98.0, 'trade_frequency': 50, 'business_size': 'Small', 'trade_type': 'Both', 'category': 'Agriculture', 'egyptian_advantage': 3.5, 'location_region': 'Other Egypt'}"
Delta Flowers Agriculture,"Port Said, Egypt",Agriculture,110.94,Ghana,Exporter,Flowers,Medium,2007,info@deltaflowersagr.eg,20213491414,Via Port Said Port,4.54,USD,351,0,71.93,3.7,3.35,Mediterranean Coast,Agriculture - Flowers,69,5,Africa,3,5.0,4.4,"{'trade_volume': 110.94, 'growth_rate': 4.54, 'success_rate': 71.93, 'trade_frequency': 351, 'business_size': 'Medium', 'trade_type': 'Exporter', 'category': 'Agriculture', 'egyptian_advantage': 4.4, 'location_region': 'Mediterranean Coast'}"
Sohag Souvenirs Tourism,"Sohag, Egypt",Tourism,166.06,Oman,Importer,Souvenirs,Large,1982,info@sohagsouvenirst.eg,20124527119,Via Suez Port,-10.0,USD,365,4,98.0,4.8,13.84,Upper Egypt,Tourism - Souvenirs,70,2,MENA,3,3.0,2.7,"{'trade_volume': 166.06, 'growth_rate': -10.0, 'success_rate': 98.0, 'trade_frequency': 365, 'business_size': 'Large', 'trade_type': 'Importer', 'category': 'Tourism', 'egyptian_advantage': 2.7, 'location_region': 'Upper Egypt'}"
Ancient Appliances Electronics,"El Arish, Egypt",Electronics,40.87,Brazil,Both,Appliances,Medium,2015,info@ancientapplianc.eg,20284685389,Via Port Said Port,-1.67,USD,136,5,98.0,4.7,9.77,Other Egypt,Electronics - Appliances,71,2,MENA,3,3.0,2.7,"{'trade_volume': 40.87, 'growth_rate': -1.67, 'success_rate': 98.0, 'trade_frequency': 136, 'business_size': 'Medium', 'trade_type': 'Both', 'category': 'Electronics', 'egyptian_advantage': 2.7, 'location_region': 'Other Egypt'}"
Egyptian Metal Furniture,"Cairo, Egypt",Furniture,4.82,United States,Importer,Metal,Small,1996,info@egyptianmetalfu.eg,20127692451,Via Port Said Port,-7.81,USD,27,4,71.29,3.9,14.68,Greater Cairo,Furniture - Metal,72,4,MENA,4,3.0,3.6000000000000005,"{'trade_volume': 4.82, 'growth_rate': -7.81, 'success_rate': 71.29, 'trade_frequency': 27, 'business_size': 'Small', 'trade_type': 'Importer', 'category': 'Furniture', 'egyptian_advantage': 3.6000000000000005, 'location_region': 'Greater Cairo'}"
Delta Medicine Pharmaceuticals,"Kafr El Sheikh, Egypt",Pharmaceuticals,68.43,Qatar,Importer,Medicine,Medium,2006,info@deltamedicineph.eg,20369388227,Via Suez Port,-9.09,USD,215,4,86.19,4.2,12.49,Other Egypt,Pharmaceuticals - Medicine,73,2,MENA,3,4.0,3.1,"{'trade_volume': 68.43, 'growth_rate': -9.09, 'success_rate': 86.19, 'trade_frequency': 215, 'business_size': 'Medium', 'trade_type': 'Importer', 'category': 'Pharmaceuticals', 'egyptian_advantage': 3.1, 'location_region': 'Other Egypt'}"
International Glass Construction Egypt,"Damanhur, Egypt",Construction,242.87,Kenya,Importer,Glass,Large,2007,info@internationalgl.eg,20320704985,Via Safaga Port,7.75,USD,365,3,92.77,4.9,8.76,Other Egypt,Construction - Glass,74,2,Africa,3,3.0,2.7,"{'trade_volume': 242.87, 'growth_rate': 7.75, 'success_rate': 92.77, 'trade_frequency': 365, 'business_size': 'Large', 'trade_type': 'Importer', 'category': 'Construction', 'egyptian_advantage': 2.7, 'location_region': 'Other Egypt'}"
Greater Cairo Steel Metals,"6th of October, Egypt",Metals,16.39,France,Both,Steel,Small,2011,info@greatercairoste.eg,20296237463,Via Alexandria Port,-2.57,USD,59,5,77.99,4.2,10.92,Other Egypt,Metals - Steel,75,2,Europe,3,4.0,3.1,"{'trade_volume': 16.39, 'growth_rate': -2.57, 'success_rate': 77.99, 'trade_frequency': 59, 'business_size': 'Small', 'trade_type': 'Both', 'category': 'Metals', 'egyptian_advantage': 3.1, 'location_region': 'Other Egypt'}"
Glass Construction of Egypt,"Cairo, Egypt",Construction,26.57,Ghana,Exporter,Glass,Medium,1980,info@glassconstructi.eg,20257434793,Via Damietta Port,-1.25,USD,93,0,80.59,4.1,2.7,Greater Cairo,Construction - Glass,76,4,Africa,4,3.0,3.6000000000000005,"{'trade_volume': 26.57, 'growth_rate': -1.25, 'success_rate': 80.59, 'trade_frequency': 93, 'business_size': 'Medium', 'trade_type': 'Exporter', 'category': 'Construction', 'egyptian_advantage': 3.6000000000000005, 'location_region': 'Greater Cairo'}"
Craft Tourism Industries,"Port Said, Egypt",Tourism,30.57,Lebanon,Importer,Craft,Medium,2007,info@crafttourismind.eg,20119442692,Via Port Said Port,-10.0,USD,108,2,78.44,3.5,6.99,Mediterranean Coast,Tourism - Craft,77,5,MENA,4,3.0,3.9000000000000004,"{'trade_volume': 30.57, 'growth_rate': -10.0, 'success_rate': 78.44, 'trade_frequency': 108, 'business_size': 'Medium', 'trade_type': 'Importer', 'category': 'Tourism', 'egyptian_advantage': 3.9000000000000004, 'location_region': 'Mediterranean Coast'}"
Upper Egypt Flowers Agriculture,"Sohag, Egypt",Agriculture,95.03,South Africa,Importer,Flowers,Medium,1989,info@upperegyptflowe.eg,20382682761,Via Damietta Port,-1.89,USD,298,4,75.5,3.9,6.91,Upper Egypt,Agriculture - Flowers,78,2,Africa,5,5.0,4.1,"{'trade_volume': 95.03, 'growth_rate': -1.89, 'success_rate': 75.5, 'trade_frequency': 298, 'business_size': 'Medium', 'trade_type': 'Importer', 'category': 'Agriculture', 'egyptian_advantage': 4.1, 'location_region': 'Upper Egypt'}"
Vitamins Pharmaceuticals Exports,"Fayoum, Egypt",Pharmaceuticals,363.94,UAE,Importer,Vitamins,Large,1980,info@vitaminspharmac.eg,20155706460,Via Safaga Port,-10.0,USD,365,0,80.36,4.6,8.8,Upper Egypt,Pharmaceuticals - Vitamins,79,2,MENA,3,4.0,3.1,"{'trade_volume': 363.94, 'growth_rate': -10.0, 'success_rate': 80.36, 'trade_frequency': 365, 'business_size': 'Large', 'trade_type': 'Importer', 'category': 'Pharmaceuticals', 'egyptian_advantage': 3.1, 'location_region': 'Upper Egypt'}"
Royal Wooden Furniture,"Beni Suef, Egypt",Furniture,5.91,Jordan,Exporter,Wooden,Small,1985,info@royalwoodenfurn.eg,20234228688,Via Suez Port,-7.47,USD,27,1,74.0,3.5,14.9,Upper Egypt,Furniture - Wooden,80,2,MENA,3,3.0,2.7,"{'trade_volume': 5.91, 'growth_rate': -7.47, 'success_rate': 74.0, 'trade_frequency': 27, 'business_size': 'Small', 'trade_type': 'Exporter', 'category': 'Furniture', 'egyptian_advantage': 2.7, 'location_region': 'Upper Egypt'}"
Beverages Food Processing Industries,"Port Said, Egypt",Food Processing,15.83,South Korea,Both,Beverages,Small,1995,info@beveragesfoodpr.eg,20289538278,Via Port Said Port,-10.0,USD,57,4,95.3,4.7,2.28,Mediterranean Coast,Food Processing - Beverages,81,5,Asia,3,3.0,3.6,"{'trade_volume': 15.83, 'growth_rate': -10.0, 'success_rate': 95.3, 'trade_frequency': 57, 'business_size': 'Small', 'trade_type': 'Both', 'category': 'Food Processing', 'egyptian_advantage': 3.6, 'location_region': 'Mediterranean Coast'}"
International Paints Chemicals Egypt,"Beni Suef, Egypt",Chemicals,3.87,Nigeria,Importer,Paints,Small,1980,info@internationalpa.eg,20395852238,Via Alexandria Port,1.72,USD,26,1,77.83,3.9,8.44,Upper Egypt,Chemicals - Paints,82,2,Africa,5,4.0,3.7,"{'trade_volume': 3.87, 'growth_rate': 1.72, 'success_rate': 77.83, 'trade_frequency': 26, 'business_size': 'Small', 'trade_type': 'Importer', 'category': 'Chemicals', 'egyptian_advantage': 3.7, 'location_region': 'Upper Egypt'}"
Golden Gold Metals,"Marsa Matruh, Egypt",Metals,35.17,Saudi Arabia,Importer,Gold,Medium,2002,info@goldengoldmetal.eg,20293189096,Via Port Said Port,-6.5,USD,118,1,98.0,4.8,1.6,Other Egypt,Metals - Gold,83,2,MENA,3,4.0,3.1,"{'trade_volume': 35.17, 'growth_rate': -6.5, 'success_rate': 98.0, 'trade_frequency': 118, 'business_size': 'Medium', 'trade_type': 'Importer', 'category': 'Metals', 'egyptian_advantage': 3.1, 'location_region': 'Other Egypt'}"
Paints Chemicals Exports,"Alexandria, Egypt",Chemicals,16.67,Italy,Importer,Paints,Medium,2012,info@paintschemicals.eg,20193301613,Via Damietta Port,3.59,USD,52,0,85.99,4.5,9.15,Mediterranean Coast,Chemicals - Paints,84,5,Europe,5,4.0,4.6,"{'trade_volume': 16.67, 'growth_rate': 3.59, 'success_rate': 85.99, 'trade_frequency': 52, 'business_size': 'Medium', 'trade_type': 'Importer', 'category': 'Chemicals', 'egyptian_advantage': 4.6, 'location_region': 'Mediterranean Coast'}"
El Transportation Tourism,"Fayoum, Egypt",Tourism,80.49,Saudi Arabia,Importer,Transportation,Large,2006,info@eltransportatio.eg,20325455166,Via Port Said Port,-3.01,USD,253,2,80.1,4.6,2.93,Upper Egypt,Tourism - Transportation,85,2,MENA,3,3.0,2.7,"{'trade_volume': 80.49, 'growth_rate': -3.01, 'success_rate': 80.1, 'trade_frequency': 253, 'business_size': 'Large', 'trade_type': 'Importer', 'category': 'Tourism', 'egyptian_advantage': 2.7, 'location_region': 'Upper Egypt'}"
Alexandria Gold Metals,"Kafr El Sheikh, Egypt",Metals,107.4,Tanzania,Importer,Gold,Large,1993,info@alexandriagoldm.eg,20298479886,Via Damietta Port,-10.0,USD,334,5,98.0,4.8,1.42,Other Egypt,Metals - Gold,86,2,MENA,3,4.0,3.1,"{'trade_volume': 107.4, 'growth_rate': -10.0, 'success_rate': 98.0, 'trade_frequency': 334, 'business_size': 'Large', 'trade_type': 'Importer', 'category': 'Metals', 'egyptian_advantage': 3.1, 'location_region': 'Other Egypt'}"
Golden Beverages Food Processing,"Port Tawfik, Egypt",Food Processing,242.46,Kenya,Exporter,Beverages,Large,1999,info@goldenbeverages.eg,20337263155,Via Port Tawfik Port,-0.79,USD,365,3,84.4,4.6,3.82,Other Egypt,Food Processing - Beverages,87,2,Africa,3,3.0,2.7,"{'trade_volume': 242.46, 'growth_rate': -0.79, 'success_rate': 84.4, 'trade_frequency': 365, 'business_size': 'Large', 'trade_type': 'Exporter', 'category': 'Food Processing', 'egyptian_advantage': 2.7, 'location_region': 'Other Egypt'}"
Royal Canned Foods Food Processing,"Giza, Egypt",Food Processing,64.11,Oman,Exporter,Canned Foods,Medium,2001,info@royalcannedfood.eg,20316197531,Via Safaga Port,-10.0,USD,204,0,73.45,4.0,7.92,Greater Cairo,Food Processing - Canned Foods,88,4,MENA,4,3.0,3.6000000000000005,"{'trade_volume': 64.11, 'growth_rate': -10.0, 'success_rate': 73.45, 'trade_frequency': 204, 'business_size': 'Medium', 'trade_type': 'Exporter', 'category': 'Food Processing', 'egyptian_advantage': 3.6000000000000005, 'location_region': 'Greater Cairo'}"
Brassware Handicrafts Exports,"Qena, Egypt",Handicrafts,4.71,France,Exporter,Brassware,Small,2004,info@brasswarehandic.eg,20183679968,Via Damietta Port,6.82,USD,31,0,69.79,2.8,10.41,Upper Egypt,Handicrafts - Brassware,89,2,Europe,2,3.0,2.4000000000000004,"{'trade_volume': 4.71, 'growth_rate': 6.82, 'success_rate': 69.79, 'trade_frequency': 31, 'business_size': 'Small', 'trade_type': 'Exporter', 'category': 'Handicrafts', 'egyptian_advantage': 2.4000000000000004, 'location_region': 'Upper Egypt'}"
Premium Rugs Textiles,"Port Said, Egypt",Textiles,19.45,Netherlands,Both,Rugs,Small,2008,info@premiumrugstext.eg,20366779266,Via Port Said Port,7.25,USD,62,6,86.43,4.2,6.05,Mediterranean Coast,Textiles - Rugs,90,5,Europe,5,5.0,5.0,"{'trade_volume': 19.45, 'growth_rate': 7.25, 'success_rate': 86.43, 'trade_frequency': 62, 'business_size': 'Small', 'trade_type': 'Both', 'category': 'Textiles', 'egyptian_advantage': 5.0, 'location_region': 'Mediterranean Coast'}"
Components Electronics Exports,"Hurghada, Egypt",Electronics,59.22,Kuwait,Both,Components,Medium,2004,info@componentselect.eg,20179625331,Via Safaga Port,12.74,USD,198,3,75.07,3.7,2.36,Red Sea,Electronics - Components,91,4,MENA,5,3.0,3.9000000000000004,"{'trade_volume': 59.22, 'growth_rate': 12.74, 'success_rate': 75.07, 'trade_frequency': 198, 'business_size': 'Medium', 'trade_type': 'Both', 'category': 'Electronics', 'egyptian_advantage': 3.9000000000000004, 'location_region': 'Red Sea'}"
Nile Beverages Food Processing,"6th of October, Egypt",Food Processing,94.95,Qatar,Exporter,Beverages,Medium,2002,info@nilebeveragesfo.eg,20111819770,Via Alexandria Port,-10.0,USD,292,3,72.61,4.0,8.52,Other Egypt,Food Processing - Beverages,92,2,MENA,3,3.0,2.7,"{'trade_volume': 94.95, 'growth_rate': -10.0, 'success_rate': 72.61, 'trade_frequency': 292, 'business_size': 'Medium', 'trade_type': 'Exporter', 'category': 'Food Processing', 'egyptian_advantage': 2.7, 'location_region': 'Other Egypt'}"
Modern Office Furniture,"Hurghada, Egypt",Furniture,13.46,Mexico,Exporter,Office,Small,1984,info@modernofficefur.eg,20386945924,Via Suez Port,-10.0,USD,49,4,77.93,3.6,4.41,Red Sea,Furniture - Office,93,4,MENA,5,3.0,3.9000000000000004,"{'trade_volume': 13.46, 'growth_rate': -10.0, 'success_rate': 77.93, 'trade_frequency': 49, 'business_size': 'Small', 'trade_type': 'Exporter', 'category': 'Furniture', 'egyptian_advantage': 3.9000000000000004, 'location_region': 'Red Sea'}"
Sinai Garments Textiles,"Sharm El Sheikh, Egypt",Textiles,58.44,Qatar,Importer,Garments,Medium,1982,info@sinaigarmentste.eg,20342071322,Via Damietta Port,-10.0,USD,184,4,75.44,4.0,14.73,Sinai,Textiles - Garments,94,3,MENA,5,5.0,4.4,"{'trade_volume': 58.44, 'growth_rate': -10.0, 'success_rate': 75.44, 'trade_frequency': 184, 'business_size': 'Medium', 'trade_type': 'Importer', 'category': 'Textiles', 'egyptian_advantage': 4.4, 'location_region': 'Sinai'}"
Suez Medicine Pharmaceuticals,"Suez, Egypt",Pharmaceuticals,15.39,Lebanon,Importer,Medicine,Small,2005,info@suezmedicinepha.eg,20351977420,Via Suez Port,-9.0,USD,59,0,61.95,3.2,3.87,Suez Canal,Pharmaceuticals - Medicine,95,5,MENA,5,4.0,4.6,"{'trade_volume': 15.39, 'growth_rate': -9.0, 'success_rate': 61.95, 'trade_frequency': 59, 'business_size': 'Small', 'trade_type': 'Importer', 'category': 'Pharmaceuticals', 'egyptian_advantage': 4.6, 'location_region': 'Suez Canal'}"
Nile Medical Supplies Pharmaceuticals,"Damanhur, Egypt",Pharmaceuticals,43.85,Tanzania,Both,Medical Supplies,Medium,1983,info@nilemedicalsupp.eg,20347618483,Via Safaga Port,-10.0,USD,139,3,63.87,2.9,14.36,Other Egypt,Pharmaceuticals - Medical Supplies,96,2,MENA,3,4.0,3.1,"{'trade_volume': 43.85, 'growth_rate': -10.0, 'success_rate': 63.87, 'trade_frequency': 139, 'business_size': 'Medium', 'trade_type': 'Both', 'category': 'Pharmaceuticals', 'egyptian_advantage': 3.1, 'location_region': 'Other Egypt'}"
Ancient Components Electronics,"Hurghada, Egypt",Electronics,7.77,Chile,Importer,Components,Small,1983,info@ancientcomponen.eg,20189409752,Via Damietta Port,-10.0,USD,42,1,69.74,3.0,13.08,Red Sea,Electronics - Components,97,4,MENA,5,3.0,3.9000000000000004,"{'trade_volume': 7.77, 'growth_rate': -10.0, 'success_rate': 69.74, 'trade_frequency': 42, 'business_size': 'Small', 'trade_type': 'Importer', 'category': 'Electronics', 'egyptian_advantage': 3.9000000000000004, 'location_region': 'Red Sea'}"
Spices Food Processing Trading Egypt,"Suez, Egypt",Food Processing,14.2,Lebanon,Importer,Spices,Medium,2005,info@spicesfoodproce.eg,20349864356,Via Suez Port,5.97,USD,45,1,74.18,4.0,2.15,Suez Canal,Food Processing - Spices,98,5,MENA,5,3.0,4.2,"{'trade_volume': 14.2, 'growth_rate': 5.97, 'success_rate': 74.18, 'trade_frequency': 45, 'business_size': 'Medium', 'trade_type': 'Importer', 'category': 'Food Processing', 'egyptian_advantage': 4.2, 'location_region': 'Suez Canal'}"
International Dairy Food Processing Egypt,"Sharm El Sheikh, Egypt",Food Processing,5.15,Greece,Importer,Dairy,Small,2015,info@internationalda.eg,20126702652,Via Damietta Port,-10.0,USD,29,0,93.62,4.8,9.38,Sinai,Food Processing - Dairy,99,3,Europe,3,3.0,3.0,"{'trade_volume': 5.15, 'growth_rate': -10.0, 'success_rate': 93.62, 'trade_frequency': 29, 'business_size': 'Small', 'trade_type': 'Importer', 'category': 'Food Processing', 'egyptian_advantage': 3.0, 'location_region': 'Sinai'}"
Ancient Fertilizers Chemicals,"Port Tawfik, Egypt",Chemicals,45.37,Indonesia,Exporter,Fertilizers,Medium,1991,info@ancientfertiliz.eg,20323857518,Via Port Tawfik Port,-10.0,USD,142,1,80.59,4.0,13.7,Other Egypt,Chemicals - Fertilizers,100,2,Asia,3,4.0,3.1,"{'trade_volume': 45.37, 'growth_rate': -10.0, 'success_rate': 80.59, 'trade_frequency': 142, 'business_size': 'Medium', 'trade_type': 'Exporter', 'category': 'Chemicals', 'egyptian_advantage': 3.1, 'location_region': 'Other Egypt'}"
Delta Confectionery Food Processing,"Port Tawfik, Egypt",Food Processing,9.67,Japan,Importer,Confectionery,Small,2011,info@deltaconfection.eg,20279977133,Via Port Tawfik Port,-3.76,USD,39,2,87.77,4.7,13.1,Other Egypt,Food Processing - Confectionery,101,2,Asia,3,3.0,2.7,"{'trade_volume': 9.67, 'growth_rate': -3.76, 'success_rate': 87.77, 'trade_frequency': 39, 'business_size': 'Small', 'trade_type': 'Importer', 'category': 'Food Processing', 'egyptian_advantage': 2.7, 'location_region': 'Other Egypt'}"
